RMSE,R2,coeff
11.783747492483366,0.7178904765959471,0.9039059155227983
52.3241237057411,-6.304292285314872,0.8817083021885469
21.28915498743377,-2.2274097059412084,0.7177170318413467
17.164034419377604,-0.6041893024020344,0.41080321395920244
3.8327387069256074,0.8953628822336359,0.9598593959289291
19.35720543894861,0.1989770192148277,0.9821556032102707
17.681148509187675,-0.6334004934193005,0.8150747345493903
19.34277594955161,-0.1532190445211392,0.8199332242678303
8.925428207148967,0.49034399085367986,0.8146250308780084
57.648158234542265,-7.290681735112749,0.7724180489279048
